gene_name	gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
C1QL1	ENSG00000131094.5	201.0105	-2.212723	0.69245666	0.000007507339	0.0005892012
CHML	ENSG00000203668.3	1948.548	1.208627	0.34361436	0.000007520836	0.0005892012
LHFPL1	ENSG00000182508.15	20.73981	1.790842	0.50672408	0.000007582327	0.0005916891
NME5	ENSG00000112981.6	41.50652	-1.827992	0.5201243	0.000007614089	0.0005918467
POMK	ENSG00000185900.12	2015.624	0.9878329	0.28883503	0.000007843664	0.0006049654
ENSG00000285330	ENSG00000285330.1	79.6457	-2.671864	1.16807154	0.000007824261	0.0006049654
SERPINF2	ENSG00000167711.15	65.55024	-1.369438	0.38456581	0.000007896835	0.0006067147
SLCO4A1	ENSG00000101187.17	43.98443	-1.942067	0.56637917	0.000007936661	0.0006074293
MYOZ1	ENSG00000177791.13	64.10657	-2.07424	0.6261772	0.000008076549	0.0006157673
UBXN10	ENSG00000162543.7	26.08834	-1.74403	0.4941686	0.000008131111	0.000617561
PRKAR1B	ENSG00000188191.17	362.5495	-1.446083	0.40582865	0.000008228051	0.000617849
VGLL3	ENSG00000206538.10	23388.13	1.638932	0.46071056	0.000008203277	0.000617849
ENSG00000307150	ENSG00000307150.1	114.8121	1.678958	0.4731053	0.000008178075	0.000617849
ITGA10	ENSG00000143127.14	269.9271	-2.025599	0.60592329	0.00000835316	0.0006248855
WDR20	ENSG00000140153.19	648.9857	0.421343	0.10185104	0.000008415728	0.0006272082
SOCS3-DT	ENSG00000266970.4	27.50672	-1.826301	0.52524968	0.00000846445	0.0006284854
LSM11	ENSG00000155858.6	295.5154	0.4996238	0.12581891	0.000008656639	0.0006379943
ENSG00000237773	ENSG00000237773.9	94.21682	1.089052	0.31779552	0.000008653824	0.0006379943
CHRNE	ENSG00000108556.10	40.63153	-1.748856	0.49928559	0.000008716168	0.0006400112
RGS16	ENSG00000143333.8	337.997	-2.003183	0.5999467	0.000008850882	0.0006475136
CLEC4E	ENSG00000166523.8	92.37858	-1.885382	0.55070384	0.000008905775	0.0006491429
RASD1	ENSG00000108551.6	206.6134	-2.158363	0.68103582	0.000009181916	0.0006668282
GCAT	ENSG00000100116.18	68.11124	-1.326258	0.37897973	0.000009277168	0.0006674349
TET2	ENSG00000168769.15	3737.414	1.06983	0.31459495	0.00000927846	0.0006674349
DRAIC	ENSG00000245750.12	270.3388	1.787312	0.51615554	0.000009290893	0.0006674349
HDHD5	ENSG00000069998.13	333.9024	-0.948862	0.2820305	0.000009502773	0.0006802003
SLC15A4	ENSG00000139370.13	1180.745	0.4512763	0.11148525	0.000009655146	0.0006886299
PRKCQ	ENSG00000065675.17	29.59643	-1.726396	0.49785529	0.000009856044	0.0006951472
IFT57	ENSG00000114446.6	683.5928	-0.604863	0.16374472	0.000009807651	0.0006951472
ZNF91	ENSG00000167232.15	3249.533	1.468936	0.4188006	0.000009859301	0.0006951472
ATXN1-AS1	ENSG00000229931.4	82.05197	-1.152084	0.3372977	0.000009886258	0.0006951472
ENSG00000226396	ENSG00000226396.1	23.85186	-1.772738	0.51545359	0.00001009876	0.0007075889
